src,src_name,dest,dest_name,weight
1506,TEK,434,EFNA4,0.2937627320565904
316,CSF1R,435,EFNA5,0.9604454771926004
437,EGFR,435,EFNA5,0.16907207292194168
458,EPHA2,435,EFNA5,0.2874096865455309
460,ERBB2,435,EFNA5,0.15628781622896593
461,ERBB3,435,EFNA5,0.28838722063228484
462,ERBB4,435,EFNA5,0.7092144553394367
495,FGFR1,435,EFNA5,0.2405211554219325
496,FGFR2,435,EFNA5,0.5842245903487007
497,FGFR3,435,EFNA5,0.2801234964902202
498,FGFR4,435,EFNA5,0.7580656412717266
507,FLT1,435,EFNA5,0.7433649532496929
508,FLT3,435,EFNA5,0.6345326536179831
510,FLT4,435,EFNA5,0.5021683921183769
674,IGF1R,435,EFNA5,0.3606048049405217
718,INSR,435,EFNA5,0.32171844529608884
776,KDR,435,EFNA5,0.5570488124464948
780,KIT,435,EFNA5,0.5015482164453714
931,MET,435,EFNA5,0.19680119467278326
988,NGFR,435,EFNA5,0.4400949276052416
1023,NTRK1,435,EFNA5,0.5077021066642676
1024,NTRK2,435,EFNA5,0.5659512031823396
1067,PDGFRA,435,EFNA5,0.7140360965083042
1068,PDGFRB,435,EFNA5,0.3907734109864881
1506,TEK,435,EFNA5,0.5660660949225227
316,CSF1R,436,EGF,1.0185511786180237
318,CSF2RA,436,EGF,0.9146061106895408
437,EGFR,436,EGF,0.2732181216279665
458,EPHA2,436,EGF,0.3299992995336652
460,ERBB2,436,EGF,0.20055028249820075
461,ERBB3,436,EGF,0.2904684538642565
462,ERBB4,436,EGF,0.4953571539682646
495,FGFR1,436,EGF,0.3540153852043053
496,FGFR2,436,EGF,0.506471869473656
497,FGFR3,436,EGF,0.5225087980429332
498,FGFR4,436,EGF,0.30405344407384594
507,FLT1,436,EGF,0.7822153530394038
508,FLT3,436,EGF,0.480339452267314
510,FLT4,436,EGF,0.3248349467292428
674,IGF1R,436,EGF,0.2360360577392081
685,IL12RB1,436,EGF,0.9216804114800956
706,IL3RA,436,EGF,0.5979871885851026
718,INSR,436,EGF,0.25687664686702194
776,KDR,436,EGF,0.4819423216084639
780,KIT,436,EGF,0.7439829129958526
931,MET,436,EGF,0.3008658705589672
988,NGFR,436,EGF,0.6191878868577381
1023,NTRK1,436,EGF,0.6130447098364433
1024,NTRK2,436,EGF,0.5576817502578101
1067,PDGFRA,436,EGF,0.5194867573678493
1068,PDGFRB,436,EGF,0.5448087198038896
1220,PRLR,436,EGF,0.5175231414536634
1506,TEK,436,EGF,0.4431129489792511
312,CRK,437,EGFR,0.6079198506971201
313,CRKL,437,EGFR,0.5649039233685471
599,GRB2,437,EGFR,0.5055968266290923
729,IRS1,437,EGFR,0.6436538715381176
761,JAK1,437,EGFR,0.5887985887626807
762,JAK2,437,EGFR,0.7047416701796464
763,JAK3,437,EGFR,0.4707586704442898
883,MAPK1,437,EGFR,0.5853608128925164
889,MAPK3,437,EGFR,0.553684525626401
1099,PIK3CA,437,EGFR,0.5322315735742449
1100,PIK3CB,437,EGFR,0.5388896678651993
1101,PIK3CD,437,EGFR,0.6619539759121835
1103,PIK3R1,437,EGFR,0.7692504056418935
1104,PIK3R2,437,EGFR,0.6085073098850747
1105,PIK3R3,437,EGFR,0.962616144431134
1126,PLCB1,437,EGFR,0.6457889393592874
1127,PLCB2,437,EGFR,0.5863433526557249
1128,PLCB3,437,EGFR,0.6888335394362608
1129,PLCB4,437,EGFR,1.2666272003203631
1134,PLCG1,437,EGFR,0.7293396993850668
1135,PLCG2,437,EGFR,0.7078518168147032
1385,SHC1,437,EGFR,0.7284581977874041
1386,SHC2,437,EGFR,0.4034164067047337
1387,SHC3,437,EGFR,0.6969724777154624
1388,SHC4,437,EGFR,0.7780507883677878
1452,SRC,437,EGFR,0.6626984053601821
1464,STAT5A,437,EGFR,0.6339519223198296
1465,STAT5B,437,EGFR,0.4285112296851972
1580,TYK2,437,EGFR,0.5345844785993298
57,ANGPT1,457,EP300,0.4652959830476903
58,ANGPT2,457,EP300,0.6334305856066447
75,ARNT,457,EP300,0.15381026007235052
79,ATF4,457,EP300,0.2317565665269892
118,BCL2,457,EP300,0.613034177509447
261,CDKN1A,457,EP300,0.4673299425592025
306,CREB3L1,457,EP300,0.34269217271357777
307,CREB3L2,457,EP300,0.3767776658137639
308,CREB3L3,457,EP300,0.4585798292731245
310,CREB5,457,EP300,0.7412415038949499
436,EGF,457,EP300,0.4054536833117405
507,FLT1,457,EP300,0.9526536859261492
635,HIF1A,457,EP300,0.3053072724491357
969,NCOA1,457,EP300,0.32520645408270266
971,NCOA3,457,EP300,0.17560707420731586
1002,NOS3,457,EP300,0.8079777608315151
1148,PPARGC1A,457,EP300,0.5287376378352443
1352,RXRA,457,EP300,0.2337766613190373
1353,RXRB,457,EP300,0.21498967204242947
1460,STAT1,457,EP300,0.1766980127741893
1461,STAT2,457,EP300,0.17713047650953131
1462,STAT3,457,EP300,0.19863193842271964
1463,STAT4,457,EP300,0.30612082077811165
1464,STAT5A,457,EP300,0.29649750650617834
1465,STAT5B,457,EP300,0.3536269274229804
1466,STAT6,457,EP300,0.21549240994888047
1498,TCF7,457,EP300,0.1616602401113293
1500,TCF7L2,457,EP300,0.5050928480923175
1506,TEK,457,EP300,0.3155665753564487
1528,THRA,457,EP300,0.10581597151079523
1529,THRB,457,EP300,0.34166001668976004
1558,TP53,457,EP300,0.4562750029067198
1593,VEGFA,457,EP300,0.19611684045909591
312,CRK,458,EPHA2,1.0096911149720351
313,CRKL,458,EPHA2,1.1764170991877714
599,GRB2,458,EPHA2,1.3592604156583548
729,IRS1,458,EPHA2,1.325105079015096
1126,PLCB1,458,EPHA2,1.3024234837541977
1127,PLCB2,458,EPHA2,1.0633245243690908
1128,PLCB3,458,EPHA2,1.357446063177728
1129,PLCB4,458,EPHA2,1.1449239997814098
1385,SHC1,458,EPHA2,0.9632659020988892
1386,SHC2,458,EPHA2,1.1318982286650376
1387,SHC3,458,EPHA2,1.2781563545266788
1388,SHC4,458,EPHA2,0.9456172664572174
461,ERBB3,460,ERBB2,0.4761828657841154
462,ERBB4,460,ERBB2,0.6426625289022923
599,GRB2,460,ERBB2,0.25951270647735025
729,IRS1,460,ERBB2,0.3258407478686422
1099,PIK3CA,460,ERBB2,0.29698508344590663
1100,PIK3CB,460,ERBB2,0.3088405586468677
1101,PIK3CD,460,ERBB2,0.4309686094522476
1103,PIK3R1,460,ERBB2,0.12368689499174555
1104,PIK3R2,460,ERBB2,0.16092759664170445
1105,PIK3R3,460,ERBB2,0.038725006033200775
1134,PLCG1,460,ERBB2,0.3227871371743579
1135,PLCG2,460,ERBB2,0.26531694311858395
1385,SHC1,460,ERBB2,0.24110284983180466
1386,SHC2,460,ERBB2,0.2840210701338947
1387,SHC3,460,ERBB2,0.5232730235749234
1388,SHC4,460,ERBB2,0.3678712023887784
599,GRB2,461,ERBB3,0.11252435222268103
729,IRS1,461,ERBB3,0.1795025832951069
1099,PIK3CA,461,ERBB3,0.16494738416125376
1100,PIK3CB,461,ERBB3,0.19345369801546136
1101,PIK3CD,461,ERBB3,0.33849375660841663
1103,PIK3R1,461,ERBB3,0.1301273605475823
1104,PIK3R2,461,ERBB3,0.2539220678930481
1105,PIK3R3,461,ERBB3,0.11862176125869155
1134,PLCG1,461,ERBB3,0.1917556397616863
1135,PLCG2,461,ERBB3,0.201446719871213
1385,SHC1,461,ERBB3,0.1089467965066433
1386,SHC2,461,ERBB3,0.19115096500512052
1387,SHC3,461,ERBB3,0.5481139012922843
1388,SHC4,461,ERBB3,0.3535265204763467
599,GRB2,462,ERBB4,0.24878917057843256
729,IRS1,462,ERBB4,0.3626512461574749
1099,PIK3CA,462,ERBB4,0.2700456146150827
1100,PIK3CB,462,ERBB4,0.321978057300051
1101,PIK3CD,462,ERBB4,0.4830080830841326
1103,PIK3R1,462,ERBB4,0.35996581145639844
1104,PIK3R2,462,ERBB4,0.2813176344459256
1105,PIK3R3,462,ERBB4,0.3601402260215157
1134,PLCG1,462,ERBB4,0.44467340913446
1135,PLCG2,462,ERBB4,0.530537867405413
1385,SHC1,462,ERBB4,0.23278512550362696
1386,SHC2,462,ERBB4,0.17372705998520055
1387,SHC3,462,ERBB4,0.2418022275979941
1388,SHC4,462,ERBB4,0.4715398116192471
1464,STAT5A,462,ERBB4,0.40290664819379657
1465,STAT5B,462,ERBB4,0.3964915830641985
316,CSF1R,463,EREG,0.4409436824576308
437,EGFR,463,EREG,0.5975252074034264
458,EPHA2,463,EREG,0.22719699423760176
460,ERBB2,463,EREG,0.18185873134061686
461,ERBB3,463,EREG,0.2739006355404854
462,ERBB4,463,EREG,0.4298785423316682
495,FGFR1,463,EREG,0.5428935252906134
496,FGFR2,463,EREG,0.4687077951307098
497,FGFR3,463,EREG,0.4128909486035506
498,FGFR4,463,EREG,0.30139887166830404
507,FLT1,463,EREG,0.3821641668987771
508,FLT3,463,EREG,0.4904837948891023
510,FLT4,463,EREG,0.5266896922359593
674,IGF1R,463,EREG,0.5283907889640734
718,INSR,463,EREG,0.3828889270623525
776,KDR,463,EREG,0.3571964090379576
780,KIT,463,EREG,0.6547165751457215
931,MET,463,EREG,0.5310008111875504
988,NGFR,463,EREG,0.5247443459151934
1023,NTRK1,463,EREG,0.4126447877846657
1024,NTRK2,463,EREG,0.6064539577656736
1067,PDGFRA,463,EREG,0.4550478970360321
1068,PDGFRB,463,EREG,0.5313310865312815
1506,TEK,463,EREG,0.6435218009554471
118,BCL2,465,ESR1,0.9146900590509176
466,ESR2,465,ESR1,1.1433158835396169
514,FOS,465,ESR1,0.996991199379166
764,JUN,465,ESR1,1.1059580538111429
969,NCOA1,465,ESR1,0.5043183251594504
971,NCOA3,465,ESR1,0.9667591269128024
1452,SRC,465,ESR1,0.8829592258591825
1514,TGFA,465,ESR1,1.3257519300871838
118,BCL2,466,ESR2,1.061842871767779
