src,src_name,dest,dest_name,weight
431,EFNA1,497,FGFR3,0.3976991643197834
431,EFNA1,498,FGFR4,0.4882868952467106
431,EFNA1,507,FLT1,0.5298315251246094
431,EFNA1,508,FLT3,0.4534874572767876
431,EFNA1,510,FLT4,0.6723340271040797
431,EFNA1,674,IGF1R,0.39537209783059857
431,EFNA1,718,INSR,0.2364301929793631
431,EFNA1,776,KDR,0.5066607794646795
431,EFNA1,780,KIT,0.838523017646124
431,EFNA1,931,MET,0.4389906582189723
431,EFNA1,988,NGFR,0.4723459052077184
431,EFNA1,1023,NTRK1,0.5725657538045198
431,EFNA1,1024,NTRK2,0.2521303131012246
431,EFNA1,1067,PDGFRA,0.7972161956131458
431,EFNA1,1068,PDGFRB,0.6320822631629804
431,EFNA1,1506,TEK,0.4825548292587579
432,EFNA2,316,CSF1R,0.6275136989153299
432,EFNA2,437,EGFR,0.5835156884510069
432,EFNA2,458,EPHA2,0.6616074865916743
432,EFNA2,460,ERBB2,0.2634228976132969
432,EFNA2,461,ERBB3,0.3062348755697409
432,EFNA2,462,ERBB4,0.4720307011778156
432,EFNA2,495,FGFR1,0.8443635334959253
432,EFNA2,496,FGFR2,0.513954224685828
432,EFNA2,497,FGFR3,0.3145912170080313
432,EFNA2,498,FGFR4,0.33421083720847183
432,EFNA2,507,FLT1,0.8608115432085469
432,EFNA2,508,FLT3,0.6553115963625411
432,EFNA2,510,FLT4,0.8052770517747072
432,EFNA2,674,IGF1R,0.3561568023947378
432,EFNA2,718,INSR,0.35180635838381324
432,EFNA2,776,KDR,0.6225720298321296
432,EFNA2,780,KIT,0.8773124111350626
432,EFNA2,931,MET,0.3706207814315955
432,EFNA2,988,NGFR,0.5252733623880583
432,EFNA2,1023,NTRK1,0.771355785165603
432,EFNA2,1024,NTRK2,0.4932787910550057
432,EFNA2,1067,PDGFRA,0.8673326467629523
432,EFNA2,1068,PDGFRB,0.7864065447201332
432,EFNA2,1506,TEK,0.4420526227292915
433,EFNA3,316,CSF1R,0.5994190850120503
433,EFNA3,437,EGFR,0.4639259883202613
433,EFNA3,458,EPHA2,0.6525352379772812
433,EFNA3,460,ERBB2,0.2637792470011239
433,EFNA3,461,ERBB3,0.3651398611449016
433,EFNA3,462,ERBB4,0.4129361726033191
433,EFNA3,495,FGFR1,0.5568530856883929
433,EFNA3,496,FGFR2,0.6437666710466146
433,EFNA3,497,FGFR3,0.4193466081749648
433,EFNA3,498,FGFR4,0.5103805551150193
433,EFNA3,507,FLT1,0.589166063524317
433,EFNA3,508,FLT3,0.6248719751369208
433,EFNA3,510,FLT4,0.5166534111679842
433,EFNA3,674,IGF1R,0.3708596240108212
433,EFNA3,718,INSR,0.3071176429608992
433,EFNA3,776,KDR,0.7032146384861941
433,EFNA3,780,KIT,0.7458040322797993
433,EFNA3,931,MET,0.3369143036776222
433,EFNA3,988,NGFR,0.5605664131386827
433,EFNA3,1023,NTRK1,0.6003787731596579
